EXETEL Tax Invoice
Level 5, 121 Walker Street, North Sydney NSW 2006
Customer Name: SMILE IT
Customer Address: 1/49 MILLER STREET MURARRIE  QLD 4172
Invoice #: SmileIT20260101 
Your Accont ID: SmileIT
Terms: See Payment Details Below 
Item ID,Reference No,ID Tag,Category,Service Number, Item Description,Quantity,Unit Price (inc-GST),Total (inc-GST),Bill Start Date,Bill End Date,Charge Type, AVC Id
0082384405,0701561050,0701561050,Broadband,0701561050,"0701561050 - Monthly Internet Charge On Plan SMB NBN 100/40 Unlimited - $109/mth(13/12/2025 - 12/01/2026)",1 ,$109.00,$109.00,13/12/2025,12/01/2026,Recurring,AVC000140707958,
0082384405,319206,319206,Others,319206,"319206 - Card Processing Fee(13/11/2025 - 12/12/2025)",1 ,$71.27,$71.27,13/11/2025,12/12/2025,Recurring,-,
0082384405,0403182994,ASG Tomago,Corporate,0403182994,"0403182994 - Monthly Charge On Plan TFS100R1 AM PROMO 374(01/01/2026 - 31/01/2026)",1 ,$374.00,$374.00,01/01/2026,31/01/2026,Recurring,-,
0082384405,0731731992,Spicers HO,Corporate,0731731992,"0731731992 - Monthly Charge On Plan TFS100 R1 Unlimited 675(01/01/2026 - 31/01/2026)",1 ,$675.00,$675.00,01/01/2026,31/01/2026,Recurring,-,
0082384405,0749850000,MMC Mine,Corporate,0749850000,"0749850000 - Monthly Charge On Plan TFS500R1 Unlimited 1300(01/01/2026 - 31/01/2026)",1 ,$1300.00,$1300.00,01/01/2026,31/01/2026,Recurring,-,
0082384405,0734334112,Air Restore NBN EE 100MB,Corporate,0734334112,"0734334112 - Monthly Charge On Plan NBNEE100 CBD Unlimited 350(01/01/2026 - 31/01/2026)",1 ,$350.00,$350.00,01/01/2026,31/01/2026,Recurring,-,
0082384405,0734334114,Spicers Clovelly,Corporate,0734334114,"0734334114 - Monthly Charge On Plan TMLL100 R1 Unlimited 800(01/01/2026 - 31/01/2026)",1 ,$800.00,$800.00,01/01/2026,31/01/2026,Recurring,-,
0082384405,0755045018,Makris GC 100mbps,Corporate,0755045018,"0755045018 - Monthly Charge On Plan NBNEE100 CBD Unlimited 350(01/01/2026 - 31/01/2026)",1 ,$350.00,$350.00,01/01/2026,31/01/2026,Recurring,-,
0082384405,0755045019,Spicers Vineyards,Corporate,0755045019,"0755045019 - Monthly Charge On Plan TMLL50 R1 Unlimited 825(01/01/2026 - 31/01/2026)",1 ,$825.00,$825.00,01/01/2026,31/01/2026,Recurring,-,
0082384405,0755045020,Smile Tingalpa 500mbps,Corporate,0755045020,"0755045020 - Monthly Charge On Plan NBNEE1000 CBD Unlimited 935(01/01/2026 - 31/01/2026)",1 ,$935.00,$935.00,01/01/2026,31/01/2026,Recurring,-,
0082384405,0730541945,Niclin,Corporate,0730541945,"0730541945 - Monthly Charge On Plan TFS200R1 Unlimited 387(01/01/2026 - 31/01/2026)",1 ,$387.00,$387.00,01/01/2026,31/01/2026,Recurring,-,
0082384405,0755045021,GWCP 100/100,Corporate,0755045021,"0755045021 - Monthly Charge On Plan NBNEE100 CBD Unlimited 313.50(01/01/2026 - 31/01/2026)",1 ,$313.50,$313.50,01/01/2026,31/01/2026,Recurring,-,
0082384405,0755045022,BGC Engineering,Corporate,0755045022,"0755045022 - Monthly Charge On Plan TFS1000R1 Unlimited 805(01/01/2026 - 31/01/2026)",1 ,$805.00,$805.00,01/01/2026,31/01/2026,Recurring,-,
0082384405,0755045023,BCG Engineering backup,Corporate,0755045023,"0755045023 - Monthly Charge On Plan TWBackup40 - $0.00(01/01/2026 - 31/01/2026)",1 ,$0.00,$0.00,01/01/2026,31/01/2026,Recurring,-,
0082384405,0403182994,ASG Tomago,Corporate,0403182994,"0403182994 - Monthly Charge For Support 24x7(01/01/2026 - 31/01/2026)",1 ,$0.00,$0.00,01/01/2026,31/01/2026,Recurring,-,
0082384405,0731731992,Spicers HO,Corporate,0731731992,"0731731992 - Monthly Charge For Support 24x7(01/01/2026 - 31/01/2026)",1 ,$0.00,$0.00,01/01/2026,31/01/2026,Recurring,-,
0082384405,0749850000,MMC Mine,Corporate,0749850000,"0749850000 - Monthly Charge For Support 24x7(01/01/2026 - 31/01/2026)",1 ,$0.00,$0.00,01/01/2026,31/01/2026,Recurring,-,
Subtotal:,7294.77
Freight:,$0.00
GST:,663.16
Total(inc-GST):,$7294.77
Paid to Date:,$0.00
Balance Due:,$7294.77
Notes:
Bank:,Westpac
BSB No:,032 097
Account Number:,182459
Account Name:,Exetel Pty Ltd
Payment Details:
Please transfer the total balance amount to Exetel's bank account within 7 days from the invoice date.
We thank you for your continued support.
Invoice #,0082384405
Amount Due:,$7294.77
